INFO 2026-03-31 00:31:39,052 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:31:45,944 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/ASSD_CD4016B.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:31:45,944 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/ASSD_LF398.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:31:55,428 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/CompRenderTest.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:31:55,428 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/CompRenderTest - plus text.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:03,795 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:03,803 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:03,803 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Default/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:21,547 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:21,551 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:21,551 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:23,417 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:23,417 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:23,419 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:25,004 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:25,004 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:25,004 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:26,334 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:26,338 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:26,338 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:28,633 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:28,634 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:28,634 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:35,722 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:35,723 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:35,728 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:36,724 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/G_Gil.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:36,726 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/battery.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-31 00:32:36,726 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Skins/Boca Jrs/DIAC.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
INFO 2026-06-18 00:30:30,839 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 TC2@DESKTOP-GV8580B
INFO 2026-06-18 02:12:10,271 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,193 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//Misc//signal.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,193 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//TCLib//Special//switch_sch.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,194 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//TCLib//OA_Ideal.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,195 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//TCLib//Special//switch_sch.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,195 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//TCLib//Special//switch_sch.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-06-18 02:12:23,196 NE_RS_UNBLDRE: Unable to load application resource file /Assets/Component Symbols/ASC Parser//Assets//Component Symbols//Misc//cell.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
